open_time,open,high,low,close,volume,close_time,quote,no_trades,base_buy,quote_buy,ignore,date
1.57784E+12,7195.24,7255,7175.15,7200.85,16792.38817,1.57792E+12,121214452.1,194010,8946.955535,64597785.21,0,1/1/2020 5:30
1.57792E+12,7200.77,7212.5,6924.74,6965.71,31951.48393,1.57801E+12,225982341.3,302667,15141.61134,107060829.1,0,1/2/2020 5:30
1.57801E+12,6965.49,7405,6871.04,7344.96,68428.50045,1.5781E+12,495098583,519854,35595.49627,257713113.9,0,1/3/2020 5:30
1.5781E+12,7345,7404,7272.21,7354.11,29987.97498,1.57818E+12,219874240.9,279370,16369.38225,120035111.7,0,1/4/2020 5:30
1.57818E+12,7354.19,7495,7318,7358.75,38331.0856,1.57827E+12,284848683.8,329209,19455.36956,144600094.4,0,1/5/2020 5:30
1.57827E+12,7357.64,7795.34,7346.76,7758,54635.69532,1.57836E+12,413330481.2,449937,28853.76777,218411610.7,0,1/6/2020 5:30
1.57836E+12,7758.9,8207.68,7723.71,8145.28,91171.68466,1.57844E+12,724202791.1,685315,46192.11155,366866967.6,0,1/7/2020 5:30
1.57844E+12,8145.92,8455,7870,8055.98,112622.6426,1.57853E+12,926410232.6,830375,55071.10951,453284250.5,0,1/8/2020 5:30
1.57853E+12,8054.72,8055.96,7750,7817.76,64239.51983,1.57861E+12,507258250.5,478800,31645.75922,249899679.3,0,1/9/2020 5:30
1.57861E+12,7817.74,8199,7672,8197.02,82406.77745,1.5787E+12,652774220.4,606101,42361.75531,335845385.7,0,1/10/2020 5:30
1.5787E+12,8198.86,8286.34,8003.16,8020.01,54810.03267,1.57879E+12,445034349.6,469131,27916.12497,226716001.4,0,1/11/2020 5:30
1.57879E+12,8020.01,8197,7960,8184.98,38131.49434,1.57887E+12,309351920.5,350662,19718.5411,159972664,0,1/12/2020 5:30
1.57887E+12,8184.97,8196,8055.89,8110.34,31159.75568,1.57896E+12,252656965.4,289144,15215.2265,123407351.9,0,1/13/2020 5:30
1.57896E+12,8110.34,8880,8105.54,8810.01,120399.1267,1.57905E+12,1032735181,915328,62492.09668,536081638.1,0,1/14/2020 5:30
1.57905E+12,8814.64,8916.48,8564,8821.41,84816.29761,1.57913E+12,743712237.3,764048,42493.55103,372770745.2,0,1/15/2020 5:30
1.57913E+12,8820.01,8859.81,8586,8720.01,51991.07428,1.57922E+12,451752380.3,543064,25996.30135,225914888.4,0,1/16/2020 5:30
1.57922E+12,8720.15,9041.65,8672.44,8913.28,70897.73738,1.57931E+12,629568740.7,676403,36139.80885,320997161,0,1/17/2020 5:30
1.57931E+12,8913.27,8988.88,8806.38,8915.96,38294.74655,1.57939E+12,340852837.9,458182,19421.29531,172895403.2,0,1/18/2020 5:30
1.57939E+12,8915.09,9198.98,8466,8701.7,70676.88926,1.57948E+12,623950864.3,615665,33655.94324,297282818.1,0,1/19/2020 5:30
1.57948E+12,8701.72,8746.99,8521.28,8642.35,38896.63975,1.57956E+12,336447837,385006,19453.86378,168293007.5,0,1/20/2020 5:30
1.57956E+12,8642.35,8789,8488,8736.03,36494.68766,1.57965E+12,316056705,365621,18731.87164,162303157.9,0,1/21/2020 5:30
1.57965E+12,8736.04,8818,8590,8682.36,29080.55714,1.57974E+12,252638888.2,317424,14477.15751,125794390,0,1/22/2020 5:30
1.57974E+12,8682.77,8691.81,8306.39,8404.52,48165.9446,1.57982E+12,407428808.7,464805,23287.71244,196965082,0,1/23/2020 5:30
1.57982E+12,8404.52,8528.02,8238,8439,41687.52953,1.57991E+12,349874174.8,407271,21293.48959,178752179.1,0,1/24/2020 5:30
1.57991E+12,8438.99,8451.26,8254.9,8340.58,25521.15793,1.58E+12,212869245.6,283118,13076.75279,109098245.2,0,1/25/2020 5:30
1.58E+12,8340.01,8618.13,8293.66,8615,31130.48516,1.58008E+12,263941925.3,332612,15797.91127,133936210.1,0,1/26/2020 5:30
1.58008E+12,8614.39,9000,8535,8907.57,53973.543,1.58017E+12,473194952.8,514196,28592.32652,250794158.8,0,1/27/2020 5:30
1.58017E+12,8907.57,9400,8862.4,9374.21,74584.85377,1.58026E+12,676593159.5,616678,38852.36325,352558461.2,0,1/28/2020 5:30
1.58026E+12,9375.34,9449.24,9216,9301.53,53864.06512,1.58034E+12,503188568.8,492545,26615.65133,248688826.4,0,1/29/2020 5:30
1.58034E+12,9301.57,9578,9204.44,9513.21,60626.74426,1.58043E+12,569652869.8,529570,30852.55545,290043577.4,0,1/30/2020 5:30
1.58043E+12,9511.52,9530.22,9210.01,9352.89,45552.02235,1.58052E+12,425779010.4,428547,22482.4709,210150300.2,0,1/31/2020 5:30
1.58052E+12,9351.71,9464.53,9281,9384.61,28578.06735,1.5806E+12,268137740,334972,14679.12631,137764121.9,0,2/1/2020 5:30
1.5806E+12,9384.41,9477.03,9120,9331.51,45690.91254,1.58069E+12,428064088.7,446558,22588.40606,211808205.8,0,2/2/2020 5:30
1.58069E+12,9331.59,9618.79,9234,9292.24,50892.13345,1.58077E+12,476379993.5,492124,24781.3977,232065946.5,0,2/3/2020 5:30
1.58077E+12,9291.35,9350,9093.01,9197.02,53308.17527,1.58086E+12,491136137.2,528930,26103.43231,240571508.2,0,2/4/2020 5:30
1.58086E+12,9197.02,9744.45,9177.22,9612.04,64870.41562,1.58095E+12,613540574.8,661758,35375.6052,334620486.1,0,2/5/2020 5:30
1.58095E+12,9612.03,9862.57,9526.35,9772,64949.70659,1.58103E+12,631245079.8,682179,32143.45465,312506614.4,0,2/6/2020 5:30
1.58103E+12,9772,9885,9730,9813.73,43966.11463,1.58112E+12,430744860.2,582249,22733.98819,222761440,0,2/7/2020 5:30
1.58112E+12,9813.87,9940,9667.11,9895.05,43600.84367,1.58121E+12,427781790.2,514573,22664.38184,222438123.8,0,2/8/2020 5:30
1.58121E+12,9895.04,10166,9880.75,10151.75,43408.47562,1.58129E+12,437441704.9,536848,22408.27733,225799470,0,2/9/2020 5:30
1.58129E+12,10151.72,10188,9756,9851.83,59573.08462,1.58138E+12,590091358.4,690308,28618.88325,283509329.4,0,2/10/2020 5:30
1.58138E+12,9851.74,10323.59,9700,10223.08,62422.39522,1.58147E+12,624970415.4,710170,31905.31642,319373572.9,0,2/11/2020 5:30
1.58147E+12,10223.08,10450,10223.08,10326.46,61008.06393,1.58155E+12,629756037.5,857655,31141.8077,321525481.5,0,2/12/2020 5:30
1.58155E+12,10325.33,10500,10080,10229.63,79344.35876,1.58164E+12,815507473.7,932802,38475.27255,395629173,0,2/13/2020 5:30
1.58164E+12,10227.78,10381.56,10111.37,10344.36,47038.48017,1.58172E+12,482455622,622310,23697.00549,243079257.3,0,2/14/2020 5:30
1.58172E+12,10344.36,10375,9801,9904.72,57657.20295,1.58181E+12,580845331.2,739781,26758.58032,269731775.5,0,2/15/2020 5:30
1.58181E+12,9904.46,10050,9638.12,9917.27,60023.99954,1.5819E+12,592584876.9,708070,29406.13684,290482773.3,0,2/16/2020 5:30
1.5819E+12,9910.7,9964.16,9452.67,9706,70261.0119,1.58198E+12,680009637.6,778058,33221.83924,321724146.1,0,2/17/2020 5:30
1.58198E+12,9706,10250,9576.01,10164.71,70604.12402,1.58207E+12,696870122.8,723413,37303.99633,368380176.6,0,2/18/2020 5:30
1.58207E+12,10164.78,10250,9350,9593.79,55162.5869,1.58216E+12,547679966.9,588760,25457.91648,253188749.1,0,2/19/2020 5:30
1.58216E+12,9594.65,9699,9400,9596.42,60152.34291,1.58224E+12,576020107.5,667387,29843.20888,285816414.9,0,2/20/2020 5:30
1.58224E+12,9597.21,9755.51,9550.21,9677.05,42181.55452,1.58233E+12,408286949.8,470599,21645.26761,209532434.6,0,2/21/2020 5:30
1.58233E+12,9677.05,9709.17,9560.02,9650.86,24636.75762,1.58242E+12,237544283.2,319961,13267.24651,127929553,0,2/22/2020 5:30
